sample_id,volume_cm3,surface_area_cm2,bbox_x_mm,bbox_y_mm,bbox_z_mm,triangle_count,overhang_ratio,max_overhang_angle,min_wall_thickness_mm,avg_wall_thickness_mm,complexity_index,aspect_ratio,is_watertight,shell_count,com_offset_ratio,flat_base_area_mm2,intended_use,surface_finish,needs_flexibility,strength_required,budget_priority,outdoor_use,technology,material,layer_height_mm,infill_density_pct,print_speed_mm_s,wall_line_count,cooling_fan_speed_pct,support_density_pct,filament_used_g,estimated_print_time_s,total_layers,source
3102405c,16.9297,31.5139,46.86,28.64,41.89,2882,0.4292,33.96,3.993,8.732,1.8615,1.6362,True,1,0.2691,287.9508,prototype,rough,True,medium,quality,False,FDM,TPU,0.2891,18.8156,31.4492,3,80.5212,15.3261,35.99,206016.6,144,synthetic
7ea576bf,47.1838,193.5804,53.59,42.13,53.37,89928,0.7637,72.53,2.795,11.141,4.1027,1.272,True,1,0.3046,697.7781,functional,standard,False,low,speed,False,FDM,PLA,0.2713,25.6586,74.4005,3,87.6946,13.2075,277.94,672423.3,196,synthetic
d3a19aa8,467.0401,871.4305,89.56,106.09,151.02,202893,0.4488,35.01,1.339,4.823,1.8659,1.6862,True,1,0.038,2248.5724,functional,rough,True,medium,quality,False,FDM,TPU,0.2142,38.3253,27.1789,3,70.999,13.0846,660.16,4372100.0,705,synthetic
fc18e7e3,556.0152,393.5038,119.69,154.91,163.05,154538,0.547,43.5,19.267,66.356,0.7077,1.3623,True,1,0.2462,2602.2241,decorative,standard,False,high,cost,False,FDM,PLA,0.1714,10.4593,50.5745,2,101.9894,15.4852,3288.28,11703353.5,951,synthetic
f435dc16,129.8763,223.2624,97.51,56.07,77.8,97154,0.3827,33.86,15.267,31.794,1.719,1.7391,False,1,0.0973,545.0877,functional,rough,False,low,cost,False,FDM,PLA,0.354,26.0864,69.5169,2,87.7806,13.3193,909.61,2355251.9,219,synthetic
be0d881b,1958.4021,2152.7382,159.22,153.81,236.28,804645,0.5022,44.7,7.166,23.349,1.0992,1.5362,True,5,0.0628,3292.9354,decorative,fine,False,low,quality,False,FDM,PLA,0.0851,10.6926,44.75,2,99.3471,11.9866,6414.53,25801477.6,2776,synthetic
c1155f63,3.3091,31.3826,20.89,23.83,14.48,7301,0.0379,3.07,1.503,3.674,9.4838,1.6457,True,1,0.126,48.9171,decorative,standard,False,medium,cost,True,SLA,Resin-Standard,0.1151,100.0,0.0,0,0.0,0.0,3.64,2438.7,125,synthetic
a26b8eca,21.9984,93.9465,47.06,58.42,35.37,5991,0.463,38.37,2.838,8.788,4.2706,1.6517,True,1,0.0374,1062.9795,prototype,fine,False,medium,speed,True,FDM,PETG,0.1859,18.3088,40.9224,4,79.7045,17.5984,108.43,476945.7,190,synthetic
2283bce1,1.7779,11.3271,15.21,24.2,17.65,3522,0.5043,40.06,1.776,2.133,6.3711,1.5911,False,4,0.2725,49.7298,functional,standard,False,low,cost,False,SLA,Resin-Standard,0.1111,100.0,0.0,1,0.0,19.0531,1.96,3019.4,158,synthetic
4bfda84b,9.1165,18.3308,30.63,36.09,54.3,8477,0.1294,10.09,2.148,3.772,2.0107,1.7728,True,1,0.2035,75.3122,decorative,standard,False,high,cost,True,FDM,PETG,0.2231,69.2574,55.0581,4,61.989,6.7548,14.39,47058.8,243,synthetic
aae82e20,697.9806,355.4883,105.01,146.94,124.35,112073,0.4426,42.54,5.254,19.623,0.5093,1.3993,True,3,0.1528,1549.073,functional,fine,False,low,quality,False,FDM,PLA,0.1018,23.8797,42.7952,2,104.7737,12.5435,1009.67,4246739.8,1221,synthetic
7dccdff6,1.5458,18.9874,21.1,24.95,12.95,8840,0.6034,59.67,1.803,7.121,12.2835,1.9266,True,2,0.3012,110.4421,functional,standard,False,medium,cost,True,SLA,Resin-Standard,0.1221,100.0,0.0,0,0.0,18.4347,1.7,2142.3,106,synthetic
97f0b4b0,1299.2109,705.2392,223.96,227.06,162.15,109066,0.2026,18.95,19.619,38.284,0.5428,1.4003,True,3,0.0891,8314.5948,prototype,standard,False,high,speed,False,FDM,PETG,0.1863,18.5566,81.7643,3,77.7034,10.2243,3643.25,8020430.6,870,synthetic
704e49c9,1616.6747,973.6106,199.18,148.63,162.35,369256,0.1689,15.91,3.396,6.245,0.6022,1.3401,True,1,0.1694,2553.5232,functional,fine,False,high,quality,False,FDM,ABS,0.1327,57.3946,44.8523,4,7.02,0.0614,1307.84,5248587.6,1223,synthetic
17b02da9,0.964,4.0176,16.0,10.3,12.13,384,0.0004,0.03,2.326,4.341,4.1677,1.5534,True,1,0.0463,43.0168,decorative,standard,False,low,cost,True,FDM,PLA,0.2331,13.9157,53.333,4,93.261,0.0,2.28,7691.8,52,synthetic
8ad66308,81.7162,143.679,54.67,51.87,120.35,8288,0.6088,58.83,3.655,12.253,1.7583,2.3202,True,1,0.2829,259.3903,prototype,fine,False,medium,quality,False,FDM,PETG,0.1247,15.4998,44.2486,3,77.3333,17.7194,234.84,955324.9,965,synthetic
1c132fc5,1808.3839,2183.508,231.07,279.7,263.04,1045907,0.5415,51.97,12.105,35.809,1.2074,1.2105,True,1,0.3439,16193.9576,functional,fine,False,low,speed,False,FDM,PLA,0.1891,21.2687,43.7221,2,87.7841,11.7667,10029.32,41289800.4,1391,synthetic
b21ed703,73.6551,83.4571,106.86,68.39,91.69,6946,0.0904,8.7,7.957,15.08,1.1331,1.5625,True,5,0.224,2919.9646,functional,fine,False,medium,cost,False,FDM,PETG,0.12,30.0763,33.0595,3,59.7622,4.9664,179.53,977478.4,764,synthetic
ecb0dfcf,1833.292,1840.1085,207.65,249.27,123.02,539103,0.7535,68.08,4.127,13.255,1.0037,2.0263,True,1,0.1111,16837.5842,decorative,standard,False,low,quality,False,FDM,PLA,0.1695,10.9262,57.3132,2,93.8624,14.2865,3198.31,10044725.2,725,synthetic
0fdb30b7,9.0079,52.6896,26.42,41.97,38.27,17690,0.5054,39.6,1.767,4.547,5.8493,1.5886,True,1,0.0399,379.0411,decorative,rough,False,medium,speed,False,FDM,PLA,0.319,18.8834,79.9552,2,97.0867,22.8337,31.18,70204.1,119,synthetic
2d771355,1.1891,4.568,17.88,18.17,11.07,1180,0.6075,57.63,0.509,1.606,3.8415,1.6414,True,1,0.0562,108.8935,decorative,fine,False,medium,quality,False,SLA,Resin-Standard,0.0641,100.0,0.0,0,0.0,20.1397,1.31,2478.5,172,synthetic
1e3a3a1f,340.4553,366.673,108.25,85.07,107.71,139445,0.0623,5.86,19.488,29.903,1.077,1.2725,True,1,0.3438,1105.9828,functional,standard,False,high,cost,False,FDM,ABS,0.1988,65.4736,53.4688,3,9.5336,4.6746,1302.6,4385130.1,541,synthetic
8bd3ae4e,270.8126,412.6095,90.56,98.0,94.79,148695,0.7167,56.08,17.464,30.979,1.5236,1.0822,True,5,0.0254,764.2811,prototype,fine,False,low,quality,False,FDM,PLA,0.0957,22.2141,41.4144,3,90.2349,17.9562,1637.21,7115847.2,990,synthetic
b965aa06,2.0446,12.1671,17.47,12.33,18.54,2002,0.337,33.31,1.774,6.636,5.951,1.5036,True,3,0.1721,17.8048,functional,rough,False,high,quality,True,FDM,PETG,0.2862,63.745,81.7488,3,61.0405,19.453,11.41,25129.4,64,synthetic
a800d946,40.7186,125.4083,37.67,51.38,51.85,23288,0.2787,20.85,7.372,22.506,3.0799,1.3764,False,2,0.249,650.6071,functional,rough,False,low,quality,False,FDM,PLA,0.2687,25.8801,81.3649,2,100.6837,8.9967,359.13,794486.3,192,synthetic
5ca444e6,1374.2307,601.2046,151.71,168.04,134.24,287949,0.6958,50.65,9.82,19.82,0.4375,1.2518,True,1,0.3141,4022.1438,decorative,standard,False,low,speed,False,FDM,PLA,0.2759,19.2914,69.9755,2,102.9168,12.952,1707.68,4392721.2,486,synthetic
8041d33f,0.6446,11.176,12.13,12.27,24.88,954,0.4089,32.87,2.692,3.927,17.3369,2.0511,True,1,0.0073,22.9687,prototype,standard,False,medium,quality,True,SLA,Resin-Standard,0.0894,100.0,0.0,1,0.0,20.089,0.71,4709.3,278,synthetic
02441f5e,513.7794,481.2774,139.38,172.11,136.47,50385,0.6298,46.7,5.724,20.615,0.9367,1.2612,True,1,0.166,6032.8116,functional,fine,False,low,quality,False,FDM,PLA,0.1292,24.3326,33.3945,2,87.0158,12.8637,1338.78,7216191.6,1056,synthetic
f2109de9,1516.9076,1047.5725,170.96,218.16,267.41,215279,0.3225,28.16,3.288,10.568,0.6906,1.5642,False,1,0.2399,2804.3636,functional,fine,False,low,speed,True,FDM,PETG,0.1137,20.0524,49.4084,4,55.3513,8.3966,1676.4,6107292.7,2351,synthetic
7b6b0eb8,46.3627,94.4031,89.45,103.65,49.39,36731,0.0174,1.27,0.577,1.847,2.0362,2.0986,True,4,0.2956,3210.4456,decorative,rough,False,high,speed,False,SLA,Resin-Standard,0.1093,100.0,0.0,0,0.0,0.0,51.0,8537.4,451,synthetic
fc6906be,218.557,465.4843,74.97,109.54,85.2,46815,0.461,43.8,8.878,20.741,2.1298,1.4611,True,1,0.3306,2805.4671,decorative,standard,False,low,cost,False,FDM,PLA,0.1795,13.569,56.1594,2,89.3161,17.8999,1222.91,3919634.9,474,synthetic
c59c2ee2,147.5491,274.7119,94.21,78.31,151.59,86382,0.4296,32.95,10.704,20.138,1.8618,1.9358,True,1,0.2268,1446.7967,functional,standard,False,high,cost,False,FDM,ABS,0.1646,79.9374,50.9952,4,20.6602,14.9326,661.21,2333897.7,920,synthetic
8909bf3f,1.8575,17.4676,12.87,18.57,16.22,6609,0.5334,41.88,2.636,8.338,9.4038,1.4429,True,1,0.1351,90.0003,prototype,standard,False,medium,speed,False,SLA,Resin-Standard,0.0969,100.0,0.0,0,0.0,19.6851,2.04,2954.2,167,synthetic
90ea7bc3,1096.8575,1592.1188,141.0,139.58,144.94,706457,0.6459,47.17,1.548,5.734,1.4515,1.0384,True,1,0.3048,6154.2827,functional,standard,False,low,quality,True,FDM,PETG,0.1597,32.2029,50.3154,5,62.6447,16.2728,1473.42,5271069.6,907,synthetic
aae8fae0,163.4036,431.4951,109.79,139.6,75.53,140101,0.7087,53.12,16.509,23.794,2.6407,1.8483,True,1,0.308,5292.9811,prototype,standard,False,high,cost,False,FDM,PLA,0.1586,15.2805,55.5958,3,100.9805,18.0676,1294.78,4192051.5,476,synthetic
27a6e8c2,50.2548,61.4958,63.42,54.19,57.35,17588,0.3266,26.16,1.879,5.085,1.2237,1.1703,True,1,0.3001,1009.3948,functional,standard,True,medium,quality,False,FDM,TPU,0.1613,39.0219,23.8409,3,64.8229,7.9079,54.45,411080.9,355,synthetic
e850b0b3,8.9897,50.9014,41.64,56.46,34.44,25321,0.1978,16.67,1.472,2.621,5.6622,1.6394,True,1,0.2701,849.5779,prototype,standard,False,medium,quality,False,FDM,PETG,0.1967,22.5415,58.4001,3,51.6072,3.7063,18.74,57775.2,175,synthetic
dd4601bd,164.3698,244.6702,70.1,56.01,76.82,40033,0.2289,17.72,4.08,14.193,1.4885,1.3715,True,1,0.2037,797.5503,decorative,standard,False,high,speed,False,FDM,PLA,0.2179,11.4327,61.1588,2,96.6054,11.6906,446.91,1315339.3,352,synthetic
249c5b8e,11.866,32.5019,30.68,44.43,36.0,9484,0.1082,9.81,1.914,7.368,2.7391,1.4482,True,1,0.2608,417.1863,functional,fine,False,medium,speed,False,FDM,PETG,0.1088,39.662,46.4641,3,59.1775,6.419,34.6,134027.7,330,synthetic
3e893335,3.683,31.479,23.68,24.68,13.49,4574,0.5977,51.84,2.364,3.334,8.5471,1.8295,False,1,0.1366,230.6783,functional,standard,False,low,quality,False,SLA,Resin-Standard,0.1137,100.0,0.0,0,0.0,16.2239,4.05,2285.7,118,synthetic
5d8523ff,83.9642,167.8334,74.25,76.03,54.46,15606,0.0349,3.35,1.684,6.182,1.9989,1.3961,True,1,0.0234,1662.6644,prototype,fine,False,medium,speed,True,FDM,PETG,0.1423,19.8884,45.4941,4,60.456,0.0,146.61,580086.2,382,synthetic
553382f8,18.2816,43.1497,36.46,34.31,67.08,3815,0.107,8.14,6.036,16.033,2.3603,1.9551,False,1,0.0024,260.1937,functional,fine,False,high,cost,False,FDM,ABS,0.1309,64.4237,39.0607,4,16.3869,8.1707,80.52,371068.7,512,synthetic
8fff4677,1142.0125,1360.1671,227.87,147.03,186.36,72852,0.7455,66.71,6.603,22.587,1.191,1.5498,True,1,0.3153,4441.5603,functional,standard,False,medium,cost,False,FDM,PETG,0.1733,43.0326,61.5447,3,64.0187,12.0839,4338.59,12689101.3,1075,synthetic
6e7247ab,78.7729,154.8437,81.13,69.49,52.76,39272,0.18,14.4,7.728,26.646,1.9657,1.5377,True,4,0.2274,1816.5097,functional,rough,False,medium,cost,False,FDM,PETG,0.2316,31.5784,75.7915,4,69.752,1.2723,546.11,1296980.5,227,synthetic
53193cd8,14.4084,42.6996,57.26,53.08,41.73,15334,0.778,57.85,6.283,24.387,2.9635,1.3722,True,5,0.2105,859.2394,functional,standard,False,medium,quality,True,FDM,PETG,0.1499,43.2483,61.9074,5,59.7936,10.8466,137.79,400624.3,278,synthetic
0bdf0066,6.9582,47.1301,33.57,49.23,37.97,4824,0.6924,52.98,1.37,3.766,6.7733,1.4665,True,1,0.1204,281.6521,functional,rough,False,high,quality,False,FDM,ABS,0.1992,53.5378,95.0364,2,4.24,20.6984,21.17,40098.4,190,synthetic
134a4e29,3.6254,24.0671,24.5,28.93,25.57,6807,0.3844,29.76,1.934,5.505,6.6385,1.1808,False,1,0.0041,271.7762,prototype,standard,False,high,quality,True,SLA,Resin-Standard,0.1029,100.0,0.0,0,0.0,13.999,3.99,4535.9,248,synthetic
2c49f328,11.8214,41.2477,41.71,27.78,43.76,17469,0.0065,0.62,6.337,24.88,3.4893,1.5752,False,1,0.2915,218.4528,prototype,fine,False,high,cost,True,FDM,PETG,0.1243,77.5554,41.9531,4,69.9457,0.0,138.48,594163.4,352,synthetic
6af70e4f,55.412,134.5694,72.96,48.4,68.23,40289,0.1437,12.77,2.752,5.134,2.4285,1.5074,True,1,0.0565,1064.7026,functional,fine,False,high,quality,True,FDM,PETG,0.093,67.812,43.2809,4,59.4297,2.1448,121.15,503834.5,733,synthetic
108f6517,1.549,8.715,15.94,14.05,12.84,1488,0.7745,62.89,1.23,4.447,5.6261,1.2414,True,3,0.0729,60.7419,functional,fine,False,high,cost,False,SLA,Resin-Engineering,0.062,100.0,0.0,0,0.0,17.9442,1.78,2939.4,207,synthetic
5c6c510a,1288.7733,1519.6995,168.46,162.21,88.9,469134,0.7728,67.39,15.629,51.903,1.1792,1.8949,False,1,0.1613,8005.5901,decorative,rough,False,low,quality,False,FDM,PLA,0.2798,12.4974,90.6293,2,103.8461,9.2436,9920.55,19703322.5,317,synthetic
8be25aa7,4.3058,21.5446,15.38,22.39,23.93,6880,0.5875,42.6,1.098,2.218,5.0036,1.5559,True,2,0.1294,36.5955,functional,fine,False,low,cost,True,SLA,Resin-Standard,0.0638,100.0,0.0,0,0.0,15.2487,4.74,5392.5,375,synthetic
8d247189,40.656,78.5777,32.44,36.94,62.0,35833,0.3531,29.67,3.557,6.229,1.9327,1.9112,True,1,0.3339,338.8869,prototype,rough,False,medium,speed,False,FDM,PLA,0.3515,23.1798,116.7158,3,102.872,14.0802,68.87,106216.6,176,synthetic
1731b390,110.174,155.7846,80.68,68.91,44.28,70969,0.0745,5.37,18.85,63.509,1.414,1.822,True,1,0.2097,1550.6841,functional,standard,True,high,cost,False,FDM,TPU,0.2044,66.849,37.8131,3,68.3401,1.928,1259.52,5995647.7,216,synthetic
20af6cdd,4.382,24.6653,22.7,24.64,20.84,1297,0.0226,1.64,2.531,4.651,5.6288,1.1823,True,2,0.2234,183.0906,prototype,standard,False,low,speed,True,FDM,PLA,0.2654,25.0518,77.9217,4,96.1233,0.0,15.18,35061.2,78,synthetic
a270b404,7.2486,15.3161,30.43,28.35,41.95,7094,0.7733,72.7,0.539,0.798,2.113,1.4797,True,1,0.1412,268.7902,functional,fine,True,medium,quality,False,FDM,TPU,0.1122,38.4233,26.4396,3,53.4082,21.6053,3.84,26128.4,373,synthetic
d2ef4277,1.3487,11.166,16.41,12.64,14.65,1468,0.1487,11.92,2.911,4.371,8.279,1.2983,True,1,0.1679,17.5413,prototype,rough,False,high,quality,False,FDM,PLA,0.2111,19.7726,65.9423,2,92.7616,6.7944,6.28,17151.8,69,synthetic
ccf5e477,105.5436,94.2371,57.79,79.84,81.41,12578,0.7453,68.03,17.597,64.348,0.8929,1.4087,True,1,0.1586,884.1833,functional,fine,False,low,quality,True,FDM,PETG,0.1241,26.4812,44.536,4,69.7694,15.5393,794.97,3213013.3,656,synthetic
03344ccc,7.9352,49.4205,37.54,42.49,33.57,18719,0.4801,46.1,0.569,0.816,6.228,1.2657,True,1,0.3295,451.6116,functional,fine,True,medium,cost,False,FDM,TPU,0.147,30.2778,33.6479,3,59.8082,15.8454,6.91,36989.7,228,synthetic
7e84b442,1416.8401,1781.4372,174.6,210.38,325.97,534919,0.7366,66.95,5.089,7.757,1.2573,1.867,True,1,0.3124,10290.8565,prototype,fine,False,high,speed,False,FDM,PETG,0.1876,16.4532,51.1533,3,65.6384,19.2266,1962.2,6904667.6,1737,synthetic
fab9c4e5,1.0617,9.966,15.07,19.58,11.42,570,0.336,32.92,0.57,1.259,9.3868,1.7145,True,1,0.3311,54.0009,prototype,standard,False,high,speed,False,SLA,Resin-Standard,0.0843,100.0,0.0,0,0.0,17.8542,1.17,2218.1,135,synthetic
fb6fc1b4,1.2782,10.9496,11.78,16.77,15.75,5393,0.6231,52.69,0.511,1.886,8.5665,1.4236,True,1,0.2596,77.891,prototype,rough,False,high,quality,True,SLA,Resin-Standard,0.0931,100.0,0.0,0,0.0,22.6498,1.41,2925.4,169,synthetic
585df678,3.3247,26.7283,31.7,29.07,22.68,3368,0.5204,37.99,2.667,5.111,8.0394,1.3977,True,1,0.3481,164.3133,prototype,standard,True,high,quality,False,FDM,TPU,0.1833,15.7695,36.1785,2,62.9337,19.9116,16.97,84449.7,123,synthetic
4fe24f80,5.1736,27.1319,26.97,23.6,15.3,5808,0.1964,19.17,2.863,3.714,5.2443,1.7627,True,1,0.2472,84.3655,functional,standard,False,low,speed,False,FDM,PLA,0.2719,25.7877,75.5316,3,101.9095,7.8538,13.65,32537.2,56,synthetic
6b559cba,291.9924,643.1328,116.56,123.93,108.37,155199,0.6258,49.42,8.684,19.691,2.2026,1.1436,True,1,0.2696,1948.3914,functional,standard,False,medium,quality,False,FDM,PETG,0.1745,45.5372,61.5764,3,82.6972,11.1316,1726.52,5046973.8,621,synthetic
6f506d64,7.3443,25.9909,43.16,31.39,28.03,1824,0.2083,16.31,0.869,3.095,3.5389,1.5398,True,1,0.2299,345.1987,functional,standard,True,high,speed,False,FDM,TPU,0.2854,78.0001,39.7491,3,57.3304,17.6649,14.59,66049.3,98,synthetic
87203abb,89.8521,298.4631,68.43,63.55,40.47,82171,0.7192,59.76,7.963,13.706,3.3217,1.6909,True,1,0.2508,1631.6202,prototype,rough,False,low,quality,False,FDM,PLA,0.2609,22.6419,87.8131,3,101.6682,14.3998,524.91,1075964.7,155,synthetic
b64af121,273.5353,308.8523,108.31,90.29,175.47,92874,0.3394,29.29,19.251,52.444,1.1291,1.9434,True,1,0.08,3812.2167,decorative,rough,False,high,speed,True,FDM,PETG,0.3554,61.6204,95.1114,4,59.3844,10.1763,2206.92,4176635.5,493,synthetic
89460294,0.6102,9.187,12.93,9.06,10.0,2417,0.666,62.73,1.703,3.172,15.0546,1.4272,True,1,0.1535,45.1692,functional,standard,False,high,speed,False,SLA,Resin-Engineering,0.1221,100.0,0.0,0,0.0,23.2563,0.7,1637.0,81,synthetic
fa98c3a1,587.2471,558.3705,108.31,89.92,149.05,241808,0.0077,0.58,13.297,28.193,0.9508,1.6576,False,4,0.0939,3521.7289,prototype,standard,False,low,quality,False,FDM,PLA,0.213,18.034,63.6007,2,93.965,0.0,2043.95,5784700.7,699,synthetic
090a5b3b,25.3924,37.8317,55.97,55.04,44.73,8511,0.5967,45.75,4.623,11.228,1.4899,1.2513,True,2,0.334,352.6977,decorative,standard,False,medium,quality,False,FDM,PLA,0.1947,13.4539,60.274,2,99.3602,17.7844,55.64,166153.2,229,synthetic
4db2ecc8,1.314,5.1408,15.29,22.05,22.34,728,0.179,13.33,1.899,3.902,3.9123,1.4611,True,1,0.3328,26.7201,functional,standard,False,low,quality,False,FDM,PLA,0.1746,20.4118,67.1553,2,101.3985,4.9157,2.72,7291.0,127,synthetic
1893973d,4.5077,17.1561,27.69,34.41,31.86,6371,0.5932,53.52,2.077,7.037,3.8059,1.2427,True,1,0.1933,186.2652,prototype,fine,False,high,cost,False,FDM,PLA,0.1214,19.9387,30.7881,2,89.1445,23.2756,15.75,92083.0,262,synthetic
269a6087,1.4027,18.2305,12.91,19.07,11.87,6510,0.259,23.58,1.624,5.335,12.9967,1.6066,True,2,0.1053,33.0518,prototype,rough,False,high,quality,False,SLA,Resin-Standard,0.0963,100.0,0.0,0,0.0,18.0888,1.54,2168.5,123,synthetic
efa504ca,0.82,11.1423,15.87,16.82,8.35,2759,0.2433,20.16,1.035,2.807,13.589,2.0144,True,1,0.3113,57.1356,prototype,standard,True,low,quality,False,FDM,TPU,0.1668,22.3883,28.5352,3,71.9553,12.4885,3.94,24853.2,50,synthetic
4192426c,165.9051,221.9257,74.15,92.74,112.83,99862,0.1741,17.14,13.531,20.243,1.3377,1.5216,True,1,0.1141,2736.2938,decorative,standard,False,high,speed,False,FDM,PLA,0.1941,10.2831,61.7323,2,95.4912,2.8638,571.87,1667470.5,581,synthetic
e7f48f14,240.6619,469.7705,97.02,78.11,82.83,24934,0.1039,9.82,12.799,37.545,1.952,1.2421,False,1,0.0732,852.9659,functional,standard,False,high,quality,False,FDM,ABS,0.2041,78.6334,60.6864,4,16.963,0.4277,1972.07,5849296.0,405,synthetic
153d5ecc,19.9173,51.8852,46.72,44.43,24.45,15289,0.6344,53.31,5.534,15.548,2.605,1.9108,True,1,0.1282,173.3294,functional,standard,False,high,cost,False,FDM,ABS,0.2359,54.9005,63.6954,3,26.4795,25.674,91.86,259587.3,103,synthetic
264b6aa9,1.826,8.2904,13.72,14.3,29.38,2706,0.446,35.46,0.749,2.198,4.5401,2.1414,True,1,0.0299,42.7234,decorative,standard,False,low,speed,False,SLA,Resin-Standard,0.1135,100.0,0.0,1,0.0,14.9727,2.01,4992.3,258,synthetic
e597675e,30.9542,129.4916,63.32,49.93,34.28,9040,0.6156,48.99,2.612,6.639,4.1833,1.8471,True,1,0.0952,227.8023,prototype,standard,False,low,quality,False,FDM,PLA,0.1879,22.5016,58.1837,2,99.4592,21.8615,112.65,348493.3,182,synthetic
497727c9,17.8778,65.25,29.41,48.79,39.7,23642,0.4136,40.23,7.952,22.709,3.6498,1.659,True,1,0.1171,472.1812,functional,standard,True,high,quality,False,FDM,TPU,0.1833,55.2055,29.7526,2,73.8591,18.8409,187.65,1135278.6,216,synthetic
2fe4c6f0,44.6337,98.4706,78.62,93.25,54.51,45809,0.6482,57.01,6.179,13.314,2.2062,1.7107,True,1,0.1496,2695.0453,prototype,fine,True,low,quality,False,FDM,TPU,0.1371,26.4506,29.5977,2,58.1683,15.0556,168.64,1025563.6,397,synthetic
8598fb42,108.0754,266.6792,79.47,54.29,71.1,53527,0.5192,47.72,15.293,55.654,2.4675,1.4638,True,1,0.2663,1030.5949,functional,fine,False,medium,cost,False,FDM,PETG,0.1354,43.228,46.1425,3,66.3218,15.912,1926.44,7514952.1,525,synthetic
94c0dff7,5.8498,27.1666,27.81,19.27,27.71,6307,0.4701,38.56,2.673,5.533,4.644,1.4432,False,1,0.1828,123.9389,functional,standard,False,medium,cost,False,FDM,PETG,0.1886,34.5204,52.6958,3,55.4497,16.8986,20.88,71339.5,146,synthetic
5c796ecf,564.1687,406.3108,177.58,141.51,215.51,106216,0.477,37.05,15.057,30.425,0.7202,1.5229,True,2,0.1467,1599.402,functional,standard,False,high,quality,False,FDM,ABS,0.2047,49.0785,57.1438,4,20.2189,17.3117,1487.22,4684669.8,1052,synthetic
e5253c11,619.4881,347.3703,143.38,93.51,115.46,136250,0.7919,58.57,4.13,12.206,0.5607,1.5333,True,1,0.3282,2911.9797,prototype,standard,False,low,quality,False,FDM,PLA,0.1631,19.8287,63.5872,2,103.7842,10.4975,632.38,1790121.4,707,synthetic
